CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
4	goodscents	The smell is distinctly fishy, reminiscent of seafood.	fishy	fishy	Pungent and aquatic, reminiscent of seafood and saltwater.	Sulfurous and anise notes emerge from an otherwise fleshy, nearly odorless scent.	anise; fleshy; odorless; sulfurous	The odorant has a sweet, pungent, and slightly fruity aroma.	almond cherry sweet fruity	The scent is a sweet, nutty almond aroma with subtle cherry notes.	The scent is a sweet, powdery, and slightly spicy almond-like aroma.	CC(CN)O
4	leffingwell	The smell is a weak, fishy, and slightly ammoniacal seafood scent.	Weak ammoniacal, fishy, seafood odor	fishy	The smell is pungent and aquatic, reminiscent of fresh seafood.	The smell is pungent and savory, reminiscent of fish and meat.	fishy; meaty	Butyronitrile has a sweet, fruity, and slightly pungent odor.	Sweet, green, floral, and fruity note with almond undertone	Sweet almond and cherry notes dominate, with a hint of bitter marzipan.	The scent is sweet and nutty with almond-like and cherry notes.	CC(CN)O
49	goodscents	The scent is fruity, with sweet and tangy notes.	fruity	fruity	The scent is sweet and fragrant, reminiscent of ripe fruit.	Earthy, sweet aroma with hints of caraway and nutty fungal undertones.	caraway; fungal; nutty; sweet	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	Fruity, slightly sweet, and cheesy, with a hint of apple.	Pungent, sour smell with fruity and vinegar-like notes.	The scent is a strong, pungent, and acrid fruity cheese aroma.	CC(C)C(=O)C(=O)O
51	goodscents	The scent is completely odorless, having no discernible smell whatsoever.	odorless	odorless	It has no scent, a completely neutral and absence of smell.	Mild blueberry scent with an unusual dark undertone, nearly imperceptible.	black; blueberry; mild; odorless	Butyric acid-like, pungent and sour, with a strong unpleasant odor.	sharp fruity citrus thơm pungent sweaty	Pungent, sour, and acidic, reminiscent of vinegar and citrus.	The scent is a pungent, sour, and acidic smell, similar to vinegar.	C(CC(=O)O)C(=O)C(=O)O
58	goodscents	Mosciano has a sweet, creamy caramel scent with lactonic notes.	sweet brown caramel creamy lactonic; Sweet, brown, caramellic, creamy with lactonic nuances. Mosciano	brown; caramellic; creamy; lactonic; sweet	Rich, sweet aroma with caramel and creamy notes.	Earthy sweetness with hints of caraway and fungal notes, reminiscent of brown sugar.	brown_sugar; caraway; fungal; sweet	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	sweet fruity dry winey berry notes	The scent is pungent and acidic, like vinegar and sour fruit.	Butyric acid has a strong, pungent, and unpleasantly sour odor.	CCC(=O)C(=O)O
58	leffingwell	The scent is sweet and creamy with caramel and fatty notes.	Sweet, brown, creamy, caramellic, fatty nuance (see comments)	caramellic; creamy; fatty; sweet	Rich, sweet caramel scent with creamy and fatty undertones.	A sweet and spicy scent with burnt, caramellic, fruity, and green notes.	burnt; caramellic; fruity; green; spicy; sweet	Butyric acid's pungent, sour, and unpleasantly acidic smell.	Pungent, acrid, acidic, fruity, slightly sweet odor	Pungent and sour, with notes of vinegar and fruit acidity.	The scent is pungent, fruity, and slightly sour with apple notes.	CCC(=O)C(=O)O
70	goodscents	The scent is sweet and fruity, with a pleasant aroma.	fruity	fruity	The scent is sweet and fruity, reminiscent of ripe tropical fruit.	Chemical and fungal notes blend with sweet green bean aroma.	chemical; fungal; green_beans; sweet	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	cheese sweaty animalic	Pungent and sour, with fruity and acidic notes, like citrus and vinegar.	The scent is pungent and sharp, with a fruity sweetness and acidic note.	CC(C)CC(=O)C(=O)O
72	goodscents	The scent is a mild blend of phenolic and balsamic notes.	mild phenolic balsamic	balsamic; phenolic	The scent is pungent and medicinal, with sweet and spicy undertones.	Earthy, phenolic notes emerge from an otherwise dark, odorless base, hinting at ambergris.	ambergris; black; odorless; phenolic	The odorant has a sour, vinegar-like smell.	sweet fruity floral rose-like	The scent is a sweet, floral, and slightly tart aroma, reminiscent of citrus.	The scent is sweet, with herbal and slightly medicinal notes reminiscent of gallic acid.	C1=CC(=C(C=C1C(=O)O)O)O
98	leffingwell	The odor is sulfurous, cheesy, and meaty, especially when diluted.	Sulfurous, cheesy, meaty on dilution	cheesy; meaty; sulfurous	Pungent aroma with strong cheesy, meaty, and sulfurous notes.	Pungent tropical fruit notes blend with a sulfurous undertone, creating a unique aroma.	fruity; sulfurous; tropical	The odor is pungent and sour, similar to burnt sulfur or rotten eggs.	Sulfurous, garlic, onion, meaty, and savory notes	The smell is sharp, sulfurous, and pungent, like garlic or onion.	The scent is pungent with sulfurous, garlic, and onion notes.	C(C(=O)C(=O)O)S
101	leffingwell	The scent is sweet and aromatic with a hint of phenolic medicinal notes.	Sweet aromatic, slightly phenolic-medicinal	aromatic; medicinal; phenolic; sweet	The scent is sweetly aromatic with medicinal and phenolic undertones.	Fruity and sweet scent with hints of hay, spice, and vanilla, and a slightly phenolic undertone.	fruity; hay; phenolic; spicy; sweet; vanilla	The scent is a sweet, floral salicylaldehyde aroma.	Sweet, vanilla-like, slightly phenolic odor	Smoky, tar-like aroma with sweet and spicy undertones, reminiscent of vanilla.	The scent is sweet and tar-like, reminiscent of phenol and vanilla.	C1=CC(=CC(=C1)O)C=O
