,0
1,229377
2,4
3,229382
4,229384
5,229385
6,229387
7,3014667
8,6914062
9,98323
10,98330
11,57376796
12,44630049
13,14123044
14,65575
15,5472296
16,98345
17,98346
18,49
19,10125362
20,51
21,86278200
22,58
23,3801157
24,70
25,72
26,524369
27,32857
28,53837915
29,44630107
30,11042909
31,44630108
32,10944610
33,98403
34,98
35,101
36,107
37,119
38,125
39,126
40,129
41,135
42,98461
43,21954719
44,20381858
45,557222
46,98471
47,557223
48,524461
49,174
50,98478
51,176
52,177
53,179
54,180
55,12255414
56,98492
57,98498
58,196
59,6455496
60,222
61,18645216
62,229
63,98534
64,235
65,239
66,240
67,241
68,243
69,244
70,5832948
71,33022
72,261
73,262
74,263
75,264
76,33032
77,273
78,280
79,229659
80,284
81,229663
82,289
83,294
84,98603
85,307
86,308
87,309
88,311
89,323
90,325
91,326
92,33094
93,332
94,335
95,338
96,342
97,356
98,19857768
99,33135
100,98677
101,379
102,44630408
103,33166
104,402
105,12648855
106,229784
107,424
108,67568049
109,441
110,453
111,454
112,460
113,473
114,557530
115,98781
116,3080674
117,66021
118,10060281
119,557564
120,53903872
121,229888
122,164355
123,525
124,527
125,66093
126,563
127,568
128,5374527
129,164422
130,98898
131,602
132,611
133,612
134,66165
135,3015295
136,2753159
137,650
138,66193
139,660
140,670
141,674
142,679
143,3015339
144,524975
145,701
146,702
147,53445311
148,99012
149,53445325
150,723
151,99038
152,71434979
153,33510
154,743
155,459494
156,66282
157,750
158,753
159,757
160,66300
161,768
162,164623
163,785
164,791
165,66327
166,66330
167,66331
168,798
169,66337
170,66338
171,66341
172,11469606
173,66349
174,66356
175,857
176,557914
177,866
178,867
179,33637
180,33640
181,875
182,53445484
183,876
184,878
185,33645
186,880
187,3015540
188,887
189,263034
190,931
191,948
192,957
193,44204990
194,90473406
195,962
196,964
197,33733
198,99275
199,971
200,33744
201,980
202,984
203,985
204,23725022
205,994
206,996
207,997
208,998
209,999
210,1001
211,1004
212,1017
213,5702654
214,263167
215,99332
216,1030
217,1031
218,1032
219,525329
220,525330
221,53445652
222,1045
223,66581
224,1049
225,66595
226,1060
227,66600
228,1068
229,525358
230,66615
231,11240503
232,525372
233,19792960
234,656467
235,1110
236,558173
237,66654
238,1119
239,1127
240,1133
241,1136
242,1140
243,66678
244,1145
245,1146
246,230525
247,525446
248,33931
249,590995
250,66708
251,90473619
252,33942
253,525462
254,1182
255,1183
256,33960
257,130024617
258,15074486
259,328893
260,1213
261,66751
262,66755
263,197828
264,656582
265,66768
266,1233
267,66774
268,1245
269,1254
270,23037164
271,5375215
272,5375218
273,3015925
274,1287
275,12518664
276,99611
277,3015972
278,34088
279,3015979
280,99643
281,11830590
282,123733313
283,34134
284,165224
285,66929
286,57509241
287,1738122
288,66955
289,3016085
290,66967
291,853433
292,67005
293,1738173
294,15369664
295,263620
296,656849
297,5244370
298,1491
299,99812
300,99818
301,34286
302,165377
303,230920
304,20514321
305,99870
306,1567
307,3016224
308,67116
309,558662
310,230984
311,67144
312,67146
313,67148
314,230995
315,8029780
316,71468629
317,67179
318,657014
319,231031
320,10290825
321,525963
322,67230
323,67244
324,100031
325,67285
326,11536111
327,89491190
328,231168
329,67328
330,67350
331,34590
332,34591
333,3082018
334,165675
335,3016499
336,13010760
337,198473
338,526152
339,67406
340,23070547
341,34645
342,526177
343,18974564
344,100197
345,198512
346,526195
347,12355469
348,100240
349,3016598
350,231325
351,6326181
352,16058296
353,34752
354,67521
355,139593683
356,12912617
357,22251515
358,14387201
359,67590
360,14420009
361,58165301
362,12716108
363,22841445
364,129730688
365,21399694
366,100495
367,100496
368,21923985
369,526487
370,2214
371,21498028
372,6850744
373,6850754
374,6850756
375,6850776
376,5376216
377,2266
378,526559
379,122423543
380,329983
381,122423559
382,526613
383,526616
384,5376281
385,526618
386,526624
387,2345
388,2346
389,526657
390,139888962
391,526661
392,166220
393,123504982
394,22219099
395,51644766
396,166246
397,166257
398,166258
399,144116082
400,101550454
401,166302
402,11962784
403,526758
404,526762
405,166341
406,166343
407,7014866
408,2519
409,68057
410,166364
411,7014876
412,166371
413,166374
414,2537
415,100851
416,139889144
417,526853
418,166406
419,35349
420,100886
421,68126
422,68128
423,68130
424,68135
425,68146
426,166450
427,68148
428,68150
429,168266297
430,68154
431,100927
432,100930
433,68165
434,100936
435,100938
436,100939
437,3017292
438,100941
439,35408
440,526930
441,526931
442,166486
443,100968
444,166504
445,166517
446,2682
447,166523
448,100990
449,166527
450,100996
451,101003
452,101004
453,101005
454,526993
455,101010
456,68252
457,68254
458,101023
459,101029
460,68272
461,68289
462,2758
463,3017418
464,9964247
465,3017432
466,101080
467,68316
468,494311
469,68329
470,11832049
471,68346
472,101115
473,527108
474,101134
475,101135
476,4197136
477,101137
478,101144
479,101145
480,68379
481,527143
482,527144
483,2879
484,330573
485,12487504
486,9898836
487,169544542
488,76319594
489,68470
490,9964407
491,3017596
492,68481
493,68482
494,68493
495,3017624
496,2969
497,101278
498,527268
499,3017637
500,101285
501,20188073
502,18320302
503,20057010
504,2998
505,527286
506,101315
507,35785
508,3026
509,101330
510,101338
511,21400548
512,35821
513,560109
514,101362
515,101363
516,23268340
517,101365
518,101364
519,232444
520,3080
521,429065
522,58526736
523,3102
524,560158
525,527393
526,3017762
527,73829420
528,12454957
529,3017783
530,12651581
531,9964606
532,527424
533,527428
534,527435
535,527441
536,527442
537,3017811
538,527445
539,35960
540,560255
541,57347212
542,101536
543,130124966
544,101549
545,129830062
546,87133357
547,3017905
548,101555
549,23497922
550,3017923
551,3283
552,101592
553,101602
554,101604
555,36081
556,3314
557,3327
558,36098
559,3338
560,135564569
561,11996452
562,101679
563,101680
564,560440
565,68932
566,23039305
567,101716
568,3083613
569,68960
570,1477985
571,55250280
572,101750
573,101759
574,36224
575,6950273
576,6950274
577,36225
578,17894801
579,5705112
580,3485
581,6950307
582,527780
583,69027
584,5803450
585,560572
586,3018185
587,3018186
588,527821
589,3018190
590,69088
591,3018210
592,69091
593,69092
594,78122470
595,3018221
596,3083782
597,90476041
598,9833996
599,3611
600,3083805
601,101921
602,69154
603,59870763
604,58658354
605,69175
606,69188
607,15928905
608,6950479
609,69203
610,101976
611,101977
612,69214
613,69220
614,101989
615,527990
616,527991
617,3018362
618,141266555
619,102024
620,3018383
621,36502
622,71306906
623,58265243
624,69278
625,3083939
626,69302
627,3776
628,129633990
629,69320
630,69326
631,12619485
632,12619486
633,69346
634,18386660
635,69350
636,69351
637,102120
638,3018473
639,69354
640,528108
641,130027255
642,2756343
643,528127
644,3018500
645,528135
646,13864714
647,57347853
648,528143
649,23662352
650,2723602
651,69396
652,134944
653,69410
654,69415
655,2723627
656,3018539
657,21434157
658,3893
659,2723653
660,3018567
661,11276107
662,69460
663,3084116
664,560982
665,6328152
666,20975449
667,6328154
668,69467
669,5312350
670,5312351
671,68161383
672,57347944
673,102263
674,3018619
675,3018620
676,69503
677,167812
678,71438214
679,59314058
680,69516
681,69523
682,69528
683,528308
684,36822
685,102360
686,69600
687,528360
688,528363
689,561142
690,6393846
691,4093
692,54038533
693,69644
694,13013009
695,13013010
696,3018771
697,3084311
698,102432
699,5869600
700,4133
701,102442
702,3084331
703,69674
704,2723888
705,2723891
706,20975672
707,22057022
708,69694
709,12193862
710,69702
711,5312586
712,69714
713,5312595
714,69721
715,102491
716,102495
717,102507
718,9834606
719,102515
720,43126912
721,68161670
722,102538
723,3084426
724,135309
725,102550
726,102553
727,3018907
728,102562
729,129700005
730,102579
731,4276
732,3018936
733,4460731
734,37065
735,37066
736,102604
737,102611
738,55251157
739,2724058
740,37098
741,3084526
742,6918391
743,102648
744,69884
745,69885
746,102667
747,3019031
748,102680
749,102681
750,3084571
751,15405344
752,102714
753,528698
754,528699
755,102717
756,69949
757,2724159
758,528704
759,2724161
760,69951
761,528707
762,528708
763,69956
764,528709
765,65147207
766,528712
767,69953
768,69963
769,69968
770,102601050
771,4428124
772,102771
773,102772
774,528762
775,102779
776,102780
777,70024
778,102815
779,102816
780,102817
781,68161955
782,102820
783,2724259
784,102833
785,68161970
786,102835
787,13406641
788,2724281
789,102844
790,6427068
791,102846
792,102847
793,102849
794,6427076
795,6427078
796,102855
797,6427080
798,102861
799,6427087
800,6427091
801,6427105
802,6427108
803,102895
804,6427119
805,70129
806,6427122
807,6427130
808,102910
809,6427135
810,102914
811,102916
812,70153
813,15667721
814,4650
815,154735146
816,5083701
817,102967
818,102968
819,102993
820,5280341
821,135565913
822,103005
823,103018
824,6165108
825,70264
826,103034
827,70273
828,6951558
829,6951559
830,16224907
831,69669515
832,12980878
833,12980879
834,4100752
835,70293
836,529049
837,529052
838,70303
839,529056
840,4775
841,529068
842,5280435
843,4788
844,70324
845,70328
846,70337
847,5280450
848,70352
849,70354
850,11735763
851,70368
852,5280483
853,4837
854,135303939
855,19993347
856,5772036
857,5280515
858,4873
859,11506447
860,2724626
861,91886355
862,6951703
863,6951704
864,5280536
865,6951711
866,6951713
867,529186
868,6951714
869,6951716
870,6951715
871,1381163
872,103212
873,6951723
874,6951724
875,5280567
876,70456
877,5280569
878,11309884
879,1151816
880,4943
881,14029650
882,4947
883,5280598
884,529251
885,529253
886,70506
887,70515
888,70520
889,140219262
890,103310
891,5280654
892,5280656
893,529296
894,529298
895,529300
896,529302
897,14029718
898,3085213
899,88576926
900,53875618
901,13800369
902,5054
903,529344
904,529345
905,529346
906,529352
907,103377
908,103379
909,103381
910,103382
911,529379
912,103401
913,70634
914,103402
915,529388
916,103404
917,5084146
918,529401
919,3019775
920,78058497
921,529426
922,5143
923,5144
924,103447
925,529438
926,2724896
927,2724897
928,2724898
929,5280802
930,70694
931,70701
932,6034479
933,562228
934,76551229
935,562246
936,5192
937,529481
938,103499
939,529496
940,70745
941,529497
942,529501
943,73045098
944,70763
945,169068
946,5234
947,70775
948,70792
949,136330
950,6427787
951,70796
952,21894285
953,70797
954,136335
955,6427789
956,169110
957,5281
958,14193827
959,103589
960,5280934
961,136363
962,3019958
963,103607
964,3019960
965,3085519
966,529623
967,103648
968,103649
969,529635
970,103653
971,103654
972,103655
973,15897831
974,103659
975,3020011
976,3020012
977,71406836
978,169211
979,169223
980,103688
981,103695
982,14619934
983,15701285
984,103719
985,3085610
986,70960
987,70962
988,5429
989,70968
990,20976953
991,136505
992,103740
993,70972
994,70991
995,58004815
996,529761
997,169321
998,529770
999,15701356
1000,103788
1001,1742210
1002,562563
1003,103814
1004,5281162
1005,5281163
1006,595340
1007,5281167
1008,5281168
1009,103826
1010,5281188
1011,5541
1012,71080
1013,103858
1014,6428088
1015,103875
1016,54465990
1017,69342666
1018,24253928
1019,5610
1020,529899
1021,562667
1022,562671
1023,529904
1024,11736563
1025,3085812
1026,529907
1027,3085817
1028,5314044
1029,5634
1030,3085845
1031,3085846
1032,3085847
1033,15341110
1034,595524
1035,562758
1036,63411783
1037,10131025
1038,20158044
1039,3085924
1040,267889
1041,3020401
1042,3020407
1043,6428289
1044,5281420
1045,431757
1046,5281426
1047,20846226
1048,5780
1049,19830424
1050,6428327
1051,71407321
1052,57579236
1053,5862
1054,14489321
1055,104170
1056,5281515
1057,5281516
1058,5281517
1059,5281519
1060,5281520
1061,5281521
1062,5281522
1063,5281525
1064,5281532
1065,5281534
1066,5281535
1067,15570693
1068,6428428
1069,22320909
1070,5281553
1071,38679
1072,6428442
1073,6428443
1074,104224
1075,12097317
1076,71474
1077,23271222
1078,5951
1079,5960
1080,5961
1081,5962
1082,5971
1083,169812
1084,169818
1085,5984
1086,137059
1087,5987
1088,5988
1089,169830
1090,38762
1091,70129520
1092,104307
1093,71544
1094,6428538
1095,6428543
1096,6428544
1097,6428546
1098,91723653
1099,6027
1100,6428555
1101,235414
1102,6428570
1103,54106013
1104,6428574
1105,6047
1106,6428573
1107,6050
1108,71590
1109,6054
1110,6057
1111,3086255
1112,56924101
1113,129701832
1114,38866
1115,595928
1116,6106
1117,5937114
1118,6109
1119,5281758
1120,6115
1121,6116
1122,530404
1123,104421
1124,6119
1125,530406
1126,104425
1127,6137
1128,6140
1129,5281794
1130,104453
1131,18159637
1132,129701911
1133,104471
1134,101324831
1135,104486
1136,104487
1137,6184
1138,3086387
1139,71571511
1140,170040
1141,6202
1142,3086398
1143,104512
1144,137281
1145,104513
1146,6212
1147,6213
1148,6214
1149,6224
1150,6251
1151,3086443
1152,6428782
1153,6428785
1154,6428793
1155,6267
1156,140318844
1157,6268
1158,6274
1159,6428802
1160,6276
1161,5281929
1162,3774604
1163,13965454
1164,6287
1165,6288
1166,44144782
1167,22976662
1168,104598
1169,6232217
1170,11344031
1171,6306
1172,5281955
1173,104620
1174,3578033
1175,6322
1176,20519097
1177,20519098
1178,20519099
1179,6329
1180,6341
1181,6342
1182,6343
1183,11344071
1184,6348
1185,104653
1186,11770062
1187,6354
1188,6363
1189,563420
1190,6364
1191,6378
1192,6386
1193,6387
1194,57350395
1195,6428926
1196,6428927
1197,6428928
1198,6428929
1199,170239
1200,39172
1201,6405
1202,6428935
1203,6428938
1204,6416
1205,104721
1206,104722
1207,6417
1208,6425
1209,6428959
1210,6428969
1211,170284
1212,12261677
